epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,63.25,1.28478,0.38462,1,1.2206,0.000404412,0.000404412,0.000404412
2,122.93,0.82413,0.44231,1,1.36177,0.000820276,0.000820276,0.000820276
3,184.044,0.49105,0.48077,1,1.22031,0.00123291,0.00123291,0.00123291
4,243.978,0.4131,0.61538,1,1.38883,0.00123904,0.00123904,0.00123904
5,303.149,0.38622,0.61538,1,1.56182,0.00123056,0.00123056,0.00123056
6,363.014,0.3255,0.61538,1,1.09859,0.00121972,0.00121972,0.00121972
7,424.275,0.26428,0.67308,1,1.17501,0.00120655,0.00120655,0.00120655
8,484.245,0.24831,0.51923,1,1.66336,0.00119111,0.00119111,0.00119111
9,537.739,0.20149,0.55769,1,1.51901,0.00117346,0.00117346,0.00117346
10,593.079,0.25815,0.57692,1,1.89315,0.00115368,0.00115368,0.00115368
11,648.417,0.17125,0.59615,1,2.19899,0.00113183,0.00113183,0.00113183
12,6687.61,0.19084,0.61538,1,1.18697,0.00110801,0.00110801,0.00110801
13,6748.17,0.25817,0.61538,1,1.14374,0.0010823,0.0010823,0.0010823
14,6808.19,0.17381,0.51923,1,1.8615,0.00105481,0.00105481,0.00105481
15,6867.87,0.1416,0.69231,1,1.42123,0.00102566,0.00102566,0.00102566
16,6929,0.1574,0.46154,1,1.63283,0.000994942,0.000994942,0.000994942
17,6990.82,0.11542,0.55769,1,1.42259,0.000962793,0.000962793,0.000962793
18,7052.2,0.13803,0.61538,1,1.62797,0.000929335,0.000929335,0.000929335
19,7112.84,0.12257,0.53846,1,1.76302,0.000894701,0.000894701,0.000894701
20,7204.02,0.15178,0.55769,1,1.74073,0.000859027,0.000859027,0.000859027
21,7261.61,0.10538,0.51923,1,1.89228,0.000822454,0.000822454,0.000822454
22,7335.2,0.14908,0.57692,1,1.72517,0.000785127,0.000785127,0.000785127
23,7408.51,0.12823,0.55769,1,1.64817,0.000747192,0.000747192,0.000747192
24,7480.33,0.07183,0.59615,1,1.76451,0.0007088,0.0007088,0.0007088
25,7553.06,0.09489,0.67308,1,1.62242,0.000670102,0.000670102,0.000670102
26,7616.53,0.13167,0.65385,1,1.81274,0.00063125,0.00063125,0.00063125
27,7697.82,0.06375,0.59615,1,1.9484,0.000592398,0.000592398,0.000592398
28,7782.27,0.0461,0.63462,1,1.96665,0.0005537,0.0005537,0.0005537
29,7853.98,0.04746,0.61538,1,1.98819,0.000515308,0.000515308,0.000515308
30,7948.92,0.05391,0.61538,1,1.88311,0.000477373,0.000477373,0.000477373
31,8042.13,0.03638,0.63462,1,1.67961,0.000440046,0.000440046,0.000440046
32,8108.3,0.03335,0.63462,1,1.61199,0.000403473,0.000403473,0.000403473
33,8167.79,0.06069,0.63462,1,1.74318,0.000367799,0.000367799,0.000367799
34,8225.45,0.08188,0.63462,1,1.955,0.000333165,0.000333165,0.000333165
35,8286.04,0.07384,0.67308,1,1.64924,0.000299707,0.000299707,0.000299707
36,8343.62,0.03467,0.65385,1,1.63161,0.000267558,0.000267558,0.000267558
37,8401.02,0.08661,0.65385,1,1.6563,0.000236844,0.000236844,0.000236844
38,8459.89,0.02919,0.67308,1,1.79976,0.000207686,0.000207686,0.000207686
39,8520.43,0.05102,0.67308,1,1.62023,0.000180201,0.000180201,0.000180201
40,8580.9,0.06176,0.69231,1,1.63009,0.000154495,0.000154495,0.000154495
41,8663.75,0.08215,0.67308,1,1.45613,0.000130671,0.000130671,0.000130671
42,8721.68,0.03974,0.67308,1,1.4653,0.000108822,0.000108822,0.000108822
43,8799.94,0.04889,0.65385,1,1.34945,8.90352e-05,8.90352e-05,8.90352e-05
44,8873.7,0.05499,0.65385,1,1.58037,7.13883e-05,7.13883e-05,7.13883e-05
45,8935.82,0.01803,0.67308,1,1.48632,5.59508e-05,5.59508e-05,5.59508e-05
46,8994.43,0.02618,0.67308,1,1.35169,4.27838e-05,4.27838e-05,4.27838e-05
47,9056.35,0.02784,0.63462,1,1.47157,3.19392e-05,3.19392e-05,3.19392e-05
48,9126.97,0.03195,0.67308,1,1.53245,2.34598e-05,2.34598e-05,2.34598e-05
49,9195.97,0.04333,0.67308,1,1.48095,1.7379e-05,1.7379e-05,1.7379e-05
50,9266.37,0.02145,0.67308,1,1.52782,1.3721e-05,1.3721e-05,1.3721e-05
