epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.2121,1.27955,0.41892,1,1.54614,0.000407801,0.000407801,0.000407801
2,91.2392,0.95411,0.47297,1,1.39284,0.000823663,0.000823663,0.000823663
3,132.593,0.83854,0.5,1,1.26034,0.00123629,0.00123629,0.00123629
4,177.545,0.80655,0.54054,1,1.20809,0.00123904,0.00123904,0.00123904
5,221.434,0.77352,0.47297,1,1.67314,0.00123056,0.00123056,0.00123056
6,258.733,0.71955,0.44595,1,1.75582,0.00121972,0.00121972,0.00121972
7,304.435,0.6777,0.52703,1,1.35943,0.00120655,0.00120655,0.00120655
8,351.298,0.74862,0.51351,1,2.16,0.00119111,0.00119111,0.00119111
9,395.332,0.78619,0.56757,1,1.36609,0.00117346,0.00117346,0.00117346
10,437.065,0.65056,0.47297,1,2.12888,0.00115368,0.00115368,0.00115368
11,482.996,0.66556,0.47297,1,2.25813,0.00113183,0.00113183,0.00113183
12,527.73,0.68023,0.56757,1,1.15779,0.00110801,0.00110801,0.00110801
13,568.62,0.58036,0.55405,1,1.51016,0.0010823,0.0010823,0.0010823
14,609.371,0.54824,0.55405,1,1.50981,0.00105481,0.00105481,0.00105481
15,645.295,0.58121,0.56757,1,1.37932,0.00102566,0.00102566,0.00102566
16,687.208,0.60016,0.45946,1,1.63576,0.000994942,0.000994942,0.000994942
17,730.454,0.44168,0.54054,1,1.46033,0.000962793,0.000962793,0.000962793
18,776.913,0.50351,0.55405,1,1.59911,0.000929335,0.000929335,0.000929335
19,822.37,0.49217,0.48649,1,1.42014,0.000894701,0.000894701,0.000894701
20,870.583,0.50135,0.51351,1,1.97115,0.000859027,0.000859027,0.000859027
21,916.532,0.45555,0.54054,1,2.23364,0.000822454,0.000822454,0.000822454
22,962.849,0.41841,0.56757,1,1.617,0.000785127,0.000785127,0.000785127
23,1006.3,0.4643,0.54054,1,2.16243,0.000747192,0.000747192,0.000747192
24,1046.67,0.40681,0.48649,1,1.80327,0.0007088,0.0007088,0.0007088
