epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.8561,1.08514,0,0.65432,5.47945,0.000324074,0.000324074,0.000324074
2,50.0631,0.3311,0,0.64198,11.1572,0.000624866,0.000624866,0.000624866
3,73.459,0.30243,0,0.7037,12.2422,0.000892657,0.000892657,0.000892657
4,97.5168,0.2418,0,0.71605,13.471,0.0008515,0.0008515,0.0008515
5,121.675,0.205,0,0.76543,14.7915,0.000802,0.000802,0.000802
6,144.494,0.22462,0,0.76543,14.1291,0.0007525,0.0007525,0.0007525
7,167.962,0.19827,0,0.81481,13.7235,0.000703,0.000703,0.000703
8,193.833,0.17787,0,0.87654,14.458,0.0006535,0.0006535,0.0006535
9,217.95,0.20936,0,0.88889,13.1158,0.000604,0.000604,0.000604
10,242.642,0.16112,0,0.92593,12.7263,0.0005545,0.0005545,0.0005545
11,264.159,0.16358,0,0.96296,12.8887,0.000505,0.000505,0.000505
12,280.88,0.11188,0,0.93827,14.2863,0.0004555,0.0004555,0.0004555
13,299.138,0.13646,0,0.91358,13.4419,0.000406,0.000406,0.000406
14,317.337,0.13077,0,0.90123,15.1662,0.0003565,0.0003565,0.0003565
15,335.994,0.1168,0,0.90123,14.3488,0.000307,0.000307,0.000307
16,354.796,0.12095,0,0.92593,13.9283,0.0002575,0.0002575,0.0002575
17,373.711,0.08555,0,0.91358,15.4043,0.000208,0.000208,0.000208
18,393.388,0.09271,0,0.90123,14.2058,0.0001585,0.0001585,0.0001585
19,414.276,0.15322,0,0.90123,14.4456,0.000109,0.000109,0.000109
20,434.653,0.08637,0,0.91358,13.7104,5.95e-05,5.95e-05,5.95e-05
