epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.9415,0.74426,0.39437,1,1.45242,0.0002375,0.0002375,0.0002375
2,44.654,1.36804,0.46479,1,1.23997,0.000463369,0.000463369,0.000463369
3,67.6507,1.2873,0.38028,1,1.26506,0.000664488,0.000664488,0.000664488
4,93.2633,1.1476,0.3662,1,1.36177,0.000840856,0.000840856,0.000840856
5,122.408,1.09046,0.49296,1,1.36002,0.000992475,0.000992475,0.000992475
6,143.718,1.07279,0.47887,1,1.23417,0.000940625,0.000940625,0.000940625
7,165.527,1.06621,0.46479,1,1.37213,0.00087875,0.00087875,0.00087875
8,187.676,1.08961,0.49296,1,1.18783,0.000816875,0.000816875,0.000816875
9,210.068,1.08526,0.50704,1,1.6756,0.000755,0.000755,0.000755
10,232.753,1.03742,0.50704,1,1.36283,0.000693125,0.000693125,0.000693125
11,256.038,0.98635,0.5493,1,1.15577,0.00063125,0.00063125,0.00063125
12,279.323,0.97672,0.49296,1,1.09589,0.000569375,0.000569375,0.000569375
13,301.754,0.9584,0.53521,1,1.28425,0.0005075,0.0005075,0.0005075
14,323.695,0.89926,0.47887,1,1.29971,0.000445625,0.000445625,0.000445625
15,345.43,0.89579,0.57746,1,1.12509,0.00038375,0.00038375,0.00038375
16,368.213,0.93332,0.52113,1,1.23863,0.000321875,0.000321875,0.000321875
17,390.055,0.8651,0.56338,1,1.4057,0.00026,0.00026,0.00026
18,411.621,0.84721,0.5493,1,1.24032,0.000198125,0.000198125,0.000198125
19,434.461,0.76001,0.56338,1,1.25081,0.00013625,0.00013625,0.00013625
20,455.996,0.81908,0.60563,1,1.23351,7.4375e-05,7.4375e-05,7.4375e-05
