epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.4603,1.56633,0.32143,1,1.54051,0.000360046,0.000360046,0.000360046
2,51.5564,0.97465,0.53571,1,1.29675,0.000706277,0.000706277,0.000706277
3,74.6334,0.70845,0.57143,1,1.28255,0.00102807,0.00102807,0.00102807
4,98.2411,0.50905,0.57143,1,1.10135,0.00100101,0.00100101,0.00100101
5,121.845,0.51483,0.53571,1,1.79639,0.000964348,0.000964348,0.000964348
6,144.692,0.55305,0.5,1,1.64599,0.000927685,0.000927685,0.000927685
7,166.581,0.50641,0.39286,1,1.81741,0.000891022,0.000891022,0.000891022
8,189.566,0.38258,0.57143,1,1.42163,0.000854359,0.000854359,0.000854359
9,211.55,0.37311,0.5,1,1.58799,0.000817696,0.000817696,0.000817696
10,232.704,0.32928,0.5,1,1.8548,0.000781033,0.000781033,0.000781033
11,252.367,0.34555,0.53571,1,1.70451,0.00074437,0.00074437,0.00074437
12,271.819,0.34167,0.5,1,2.27232,0.000707707,0.000707707,0.000707707
13,292.385,0.31244,0.57143,1,1.79843,0.000671044,0.000671044,0.000671044
