epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.8556,1.46567,0.38889,1,1.67164,0.000407801,0.000407801,0.000407801
2,68.8366,1.18674,0.5,1,1.32462,0.000750266,0.000750266,0.000750266
3,99.5635,1.06762,0.33333,1,1.67553,0.00101773,0.00101773,0.00101773
4,129.719,1.03449,0.33333,1,1.45265,0.0009125,0.0009125,0.0009125
5,157.762,0.92827,0.58333,1,1.06629,0.0008,0.0008,0.0008
6,188.869,0.93982,0.58333,1,1.12457,0.0006875,0.0006875,0.0006875
7,216.543,0.87601,0.55556,1,1.52987,0.000575,0.000575,0.000575
8,245.46,0.81941,0.47222,1,1.61369,0.0004625,0.0004625,0.0004625
9,273.891,0.75013,0.55556,1,1.80914,0.00035,0.00035,0.00035
10,302.032,0.73817,0.61111,1,1.63888,0.0002375,0.0002375,0.0002375
11,330.372,0.68397,0.58333,1,1.16194,0.000125,0.000125,0.000125
